x,y
1.0000838140,0.0012572093
0.9998343982,0.0013092264
0.9990863861,0.0014651182
0.9978404824,0.0017244067
0.9960978617,0.0020862982
0.9938601675,0.0025496884
0.9911295118,0.0031131680
0.9879084743,0.0037750317
0.9842001008,0.0045332869
0.9800079023,0.0053856656
0.9753358529,0.0063296359
0.9701883881,0.0073624163
0.9645704025,0.0084809899
0.9584872467,0.0096821194
0.9519447247,0.0109623632
0.9449490905,0.0123180918
0.9375070436,0.0137455038
0.9296257254,0.0152406430
0.9213127136,0.0167994139
0.9125760178,0.0184175987
0.9034240728,0.0200908719
0.8938657329,0.0218148155
0.8839102647,0.0235849332
0.8735673398,0.0253966634
0.8628470273,0.0272453912
0.8517597846,0.0291264600
0.8403164494,0.0310351813
0.8285282295,0.0329668437
0.8164066937,0.0349167209
0.8039637607,0.0368800782
0.7912116890,0.0388521790
0.7781630651,0.0408282891
0.7648307926,0.0428036807
0.7512280797,0.0447736364
0.7373684270,0.0467334515
0.7232656151,0.0486784362
0.7089336913,0.0506039181
0.6943869570,0.0525052439
0.6796399532,0.0543777816
0.6647074477,0.0562169225
0.6496044204,0.0580180839
0.6343460495,0.0597767127
0.6189476967,0.0614882886
0.6034248924,0.0631483296
0.5877933211,0.0647523971
0.5720688057,0.0662961031
0.5562672922,0.0677751180
0.5404048342,0.0691851798
0.5244975766,0.0705221042
0.5085617394,0.0717817966
0.4926136013,0.0729602647
0.4766694826,0.0740536327
0.4607457287,0.0750581557
0.4448586918,0.0759702366
0.4290247143,0.0767864421
0.4132601099,0.0775035206
0.3975617463,0.0781180105
0.3818583942,0.0786056359
0.3662720983,0.0789522274
0.3508195745,0.0791563113
0.3355174340,0.0792168169
0.3203821594,0.0791330888
0.3054300808,0.0789048969
0.2906773506,0.0785324449
0.2761399194,0.0780163769
0.2618335113,0.0773577811
0.2477735991,0.0765581915
0.2339753802,0.0756195866
0.2204537529,0.0745443848
0.2072232924,0.0733354376
0.1942982289,0.0719960191
0.1816924250,0.0705298118
0.1694193550,0.0689408907
0.1574920850,0.0672337020
0.1459232537,0.0654130408
0.1347250556,0.0634840238
0.1239092240,0.0614520602
0.1134870166,0.0593228194
0.1034692019,0.0571021960
0.0938660479,0.0547962723
0.0846873108,0.0524112789
0.0759422271,0.0499535537
0.0676395054,0.0474294986
0.0597873210,0.0448455362
0.0523933110,0.0422080645
0.0454645714,0.0395234125
0.0390076545,0.0367977949
0.0330285683,0.0340372674
0.0275327765,0.0312476839
0.0225251994,0.0284346531
0.0180102156,0.0256034989
0.0139916643,0.0227592209
0.0104728482,0.0199064594
0.0074565364,0.0170494613
0.0049449682,0.0141920506
0.0029398563,0.0113376014
0.0014423906,0.0084890155
0.0004532417,0.0056487033
-0.0000274358,0.0028185689
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0005308934,-0.0027682390
0.0015600819,-0.0054476243
0.0030856869,-0.0080374892
0.0051053309,-0.0105371280
0.0076161431,-0.0129458008
0.0106147663,-0.0152627418
0.0140973649,-0.0174871691
0.0180596343,-0.0196182964
0.0224968108,-0.0216553474
0.0274036829,-0.0235975707
0.0327746028,-0.0254442572
0.0386034987,-0.0271947578
0.0448838881,-0.0288485025
0.0516088903,-0.0304050199
0.0587712403,-0.0318639567
0.0663633020,-0.0332250976
0.0743770814,-0.0344883844
0.0828042401,-0.0356539345
0.0916361077,-0.0367220588
0.1008636946,-0.0376932776
0.1104777033,-0.0385683354
0.1204685403,-0.0393482139
0.1308263263,-0.0400341427
0.1415409063,-0.0406276077
0.1526018586,-0.0411303572
0.1639985035,-0.0415444056
0.1757199110,-0.0418720336
0.1877549079,-0.0421157868
0.2000920839,-0.0422784702
0.2127197980,-0.0423631411
0.2256261833,-0.0423730980
0.2387991522,-0.0423118682
0.2522264009,-0.0421831915
0.2658954140,-0.0419910022
0.2797934680,-0.0417394088
0.2939076364,-0.0414326716
0.3082247935,-0.0410751785
0.3227316190,-0.0406714192
0.3374146027,-0.0402259586
0.3522600502,-0.0397434087
0.3672540880,-0.0392284004
0.3823826703,-0.0386855548
0.3976315856,-0.0381194545
0.4130917125,-0.0375228100
0.4286604475,-0.0368788748
0.4443031083,-0.0361910651
0.4600043145,-0.0354631716
0.4757486015,-0.0346989458
0.4915204349,-0.0339020798
0.5073042244,-0.0330761886
0.5230843392,-0.0322247932
